dependency,skus,service_level,wareh,diff,buffer,heuristic,parcel_train,parcel_test,duration
HD,5000,0.003,2,0.0,0.0,CHI,112663,113644,0.9426826
HD,5000,0.003,2,0.0,0.0,RND,155098,155071,3.5216788
HD,5000,0.002,2,0.0,0.0,CHIM,114432,115016,0.7313758
HD,5000,0.002,2,0.0,0.0,CHI,112558,113644,0.8754344
HD,5000,0.002,2,0.0,0.0,RND,155104,155080,3.4316792
HD,5000,0.001,2,0.0,0.0,CHIM,114124,114742,0.728362
HD,5000,0.001,2,0.0,0.0,CHI,112675,113634,1.0240548
HD,5000,0.001,2,0.0,0.0,RND,155165,155070,3.4344477
HD,5000,0.0009,2,0.0,0.0,CHIM,113668,114270,0.7178447
HD,5000,0.0009,2,0.0,0.0,CHI,112650,113539,0.9637497
HD,5000,0.0009,2,0.0,0.0,RND,155105,155081,3.4381862
HD,5000,0.0008,2,0.0,0.0,CHIM,113898,114566,0.7353343
HD,5000,0.0008,2,0.0,0.0,CHI,112979,113869,0.8702823
HD,5000,0.0008,2,0.0,0.0,RND,155128,155075,3.4437182
HD,5000,0.0007,2,0.0,0.0,CHIM,113649,114006,0.7268453
HD,5000,0.0007,2,0.0,0.0,CHI,112741,113526,0.9372257
HD,5000,0.0007,2,0.0,0.0,RND,155152,155089,3.404518
HD,5000,0.0006,2,0.0,0.0,CHIM,113843,114370,0.7337451
HD,5000,0.0006,2,0.0,0.0,CHI,112756,113806,0.8360996
HD,5000,0.0006,2,0.0,0.0,RND,155094,155049,3.552424
HD,5000,0.0005,2,0.0,0.0,CHIM,113983,114626,0.7229113
HD,5000,0.0005,2,0.0,0.0,CHI,112605,113568,0.9934717
HD,5000,0.0005,2,0.0,0.0,RND,155140,155078,3.5445775
HD,5000,0.0004,2,0.0,0.0,CHIM,114071,114577,0.7343335
HD,5000,0.0004,2,0.0,0.0,CHI,112651,113595,0.9367428
HD,5000,0.0004,2,0.0,0.0,RND,155125,155103,3.3436508
HD,5000,0.0003,2,0.0,0.0,CHIM,114297,114857,0.7346378
HD,5000,0.0003,2,0.0,0.0,CHI,112555,113592,0.8980666
HD,5000,0.0003,2,0.0,0.0,RND,155146,155074,3.5386942
HD,5000,0.0002,2,0.0,0.0,CHIM,113861,114388,0.7189699
HD,5000,0.0002,2,0.0,0.0,CHI,112647,113647,0.9791153
HD,5000,0.0002,2,0.0,0.0,RND,155134,155088,3.4025359
HD,5000,0.0001,2,0.0,0.0,CHIM,113888,114412,0.718253
HD,5000,0.0001,2,0.0,0.0,CHI,112717,113640,0.9677283
HD,5000,0.0001,2,0.0,0.0,RND,155116,155110,3.4040434
HD,5000,9.0e-5,2,0.0,0.0,CHIM,113518,114091,0.7354893
HD,5000,9.0e-5,2,0.0,0.0,CHI,112506,113511,1.0092896
HD,5000,9.0e-5,2,0.0,0.0,RND,155132,155066,3.4431569
HD,5000,8.0e-5,2,0.0,0.0,CHIM,114072,114642,0.7288888
HD,5000,8.0e-5,2,0.0,0.0,CHI,112467,113566,0.9307783
HD,5000,8.0e-5,2,0.0,0.0,RND,155116,155078,3.44448
HD,5000,7.0e-5,2,0.0,0.0,CHIM,114151,114897,0.7245316
HD,5000,7.0e-5,2,0.0,0.0,CHI,112648,113594,0.8591967
HD,5000,7.0e-5,2,0.0,0.0,RND,155117,155104,3.4445722
